id,name,artists,href,z,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,centroid,mean,var,skewness,kurtosis,RMS,max_amplitude,zcr,spectral_centroid,spectral_slope,spectral_flatness
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Lil Mosey,https://api.spotify.com/v1/tracks/22LAwLoDA5b4AaGSkg6bKW,13,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,162547,4,182641.20165086206,0.89464253816453,5237.11859187828,-4.212259068701558e-07,-2.9999998617013968,72.37346873785569,128.0,0.4668837682234772,10848.056402768587,-0.044546277678066175,0.8424467743710264
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,49,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,181750.82931320328,1.0540427326166217,5276.96267226848,-4.916692630302924e-07,-2.999999865243431,72.65035222454647,128.0,0.4747134577703308,10927.59649860032,-0.018492344505739534,0.842716916391592
3H7ihDc1dqLriiWXwsc2po,Breaking Me,Topic & A7S,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,22,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794,4,181651.3410514816,0.5985487555840941,5253.83661290625,-4.2827950189875215e-07,-2.999999863532397,72.48582532826029,128.0,0.47189419640027447,10876.20272542044,-0.039416218342192125,0.842362238675938
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,40,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4,183078.85114836594,0.5589678766728037,5275.406194136832,-3.835320921677294e-07,-2.9999998649979918,72.63414237962739,128.0,0.4735319172322827,10876.462047066934,-0.04457109312899362,0.842203063748314
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,4,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290,4,181869.7875395453,0.9808191015292357,5262.425249616096,-4.68109323337802e-07,-2.999999864175941,72.54920575530805,128.0,0.4734016606910084,10874.990706127428,-0.03172088263751576,0.8421575387246037
16wAOAZ2OkqoIDN7TpChjR,Yummy,Justin Bieber,https://api.spotify.com/v1/tracks/16wAOAZ2OkqoIDN7TpChjR,30,0.676,0.506,9,-6.652,0,0.0958,0.345,0,0.118,0.497,145.842,208520,4,182086.96225262937,0.6465754104188657,5264.123434088902,-4.247586738909581e-07,-2.999999863973971,72.55716018319806,128.0,0.47301997183494504,10882.447302397395,-0.03525224912806675,0.8412155453239666
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,45,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4,181511.07107944263,1.0230336134222195,5250.188902872062,-4.161512291240335e-07,-2.999999863258755,72.46540899385205,128.0,0.4720154549538253,10839.844531393115,-0.055787095480457606,0.8424867309906401
1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,20,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171375,4,181493.53227939186,0.9204984828901425,5254.868284385024,-5.350917907820679e-07,-2.9999998634446,72.49631440178202,128.0,0.4692706022416297,10849.570825939838,-0.05129397984047573,0.8427883607010256
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,26,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,182378.95306204844,0.8251699686656874,5275.341411608419,-3.9898495014628354e-07,-2.9999998647726422,72.63623281176967,128.0,0.4723296248425706,10894.1501353301,-0.026954844479347078,0.8420082027251781
2Wo6QQD1KMDWeFkkjLqwx5,Roses - Imanbek Remix,SAINt JHN & Imanbek,https://api.spotify.com/v1/tracks/2Wo6QQD1KMDWeFkkjLqwx5,3,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4,181918.83910086902,0.8136421384497093,5314.028936999805,-4.3608970212353866e-07,-2.999999868182394,72.90192693289572,128.0,0.4777876376904655,10917.989189130185,-0.026709435365751433,0.8426646245793447
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes & Camila Cabello,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,25,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4,183232.59600548338,0.7105427906159388,5318.672337667772,-3.8395416114791e-07,-2.999999868462713,72.93268957556047,128.0,0.4775146076794658,10921.08670825673,-0.02989521111456395,0.8432189980706636
3AzjcOeAmA57TIOr9zF1ZW,Physical,Dua Lipa,https://api.spotify.com/v1/tracks/3AzjcOeAmA57TIOr9zF1ZW,48,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,4,182393.7655436031,1.109202083075697,5280.258355350799,-4.6516475230850845e-07,-2.99999986521163,72.67385145024238,128.0,0.4729021531527818,10869.51731111569,-0.03237678214856712,0.842420038111864
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn & iann dior,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,23,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526,4,182393.7655436031,1.109202083075697,5280.258355350799,-4.6516475230850845e-07,-2.99999986521163,72.67385145024238,128.0,0.4729021531527818,10869.51731111569,-0.03237678214856712,0.842420038111864
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande & Justin Bieber,https://api.spotify.com/v1/tracks/4HBZA5flZLE435QTztThqH,46,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3,182393.7655436031,1.109202083075697,5280.258355350799,-4.6516475230850845e-07,-2.99999986521163,72.67385145024238,128.0,0.4729021531527818,10869.51731111569,-0.03237678214856712,0.842420038111864
